,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,pub_rec,revol_bal,revol_util,annual_inc_joint,dti_joint,verification_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mort_acc,pub_rec_bankruptcies,revol_bal_joint,inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,fico_avg_score,sec_cibil_score,credit_hist,sec_credit_hist,balance_annual_inc,sec_balance_annual_inc,inst_amnt_ratio,credit_line_ratio
621552,1,12.62,5,24,0.5,3,10.93312483,1,0,2,32.45,0,10.06581896,57.5,11.87757552,22.02,1,1,3,1,1,2,10.70918186,67,1,1,8.973604867,63,0,1,3,2,0,10.66529755,1,2,16,85.6,13,20,667,627,7455,5479,0.357142857,0.138888889,0.0335115,0.52
621577,2,20,4,16,2,4,11.15626481,2,1,2,27.67,0,9.476083537,30.8,12.0435596,25.26,2,1,4,1,1,8,10.34070969,71,1,1,8.518991573,51,3,1,4,3,0,10.9813868,3,5,11,50,3,9,672,672,4199,5144,0.5,0.205882353,0.026494,0.6
621639,1,13.59,5,23,0.5,3,10.1266711,2,0,2,26.02,0,8.789507787,70.6,10.83960052,16.12,2,1,2,1,1,8,9.741086263,82,2,3,8.404024493,79,0,0,2,0,0,9.233079859,0,0,6,63.5,1,7,707,687,2100,1491,0.48,0.235294118,0.033979167,0.6
621655,2,14.08,5,22,0.5,4,10.85901823,1,1,2,29.52,0,9.808407346,63.8,11.80560254,20.9,1,1,2,1,2,12,10.14682581,76,3,4,9.156095357,71,2,1,4,3,0,10.90557059,0,3,18,72.6,4,15,707,697,6056,9923,0.769230769,0.298507463,0.02330975,0.666666667
621682,1,10.91,6,26,3,3,10.71443999,0,1,2,23.07,0,7.534762657,28.8,11.09742517,17.36,0,0,20,0,3,18,11.34480263,97,0,0,6.54534966,93,0,0,2,0,0,9.487820582,1,0,4,53,1,3,702,672,5387,5874,0.466666667,0.318181818,0.03269619,0.692307692
621691,2,16.02,5,20,10,4,10.59665973,2,0,2,11.37,0,9.343646739,57.7,11.55215579,17.5,2,0,0,0,0,61,0,71.16996114,1,6,8.066207568,58,1,0,3,2,0,9.888830663,1,2,13,60.4,2,10,682,672,8766,4260,0.7,0.269230769,0.024328929,0.363636364
621706,2,10.42,6,27,0.5,4,11.22525673,1,0,1,55.74,1,10.90745944,47.9,12.1034916,23.49,1,1,3,1,3,1,11.49629799,70,0,4,9.789254458,54,0,1,0,3,1,10.91188333,0,3,24,40.3,3,26,722,722,8551,5417,0.533333333,0.221606648,0.0214545,0.527777778
621711,2,14.08,5,22,0.5,4,10.85901823,2,1,1,27.65,1,9.684833906,67,11.4510607,28.7,2,1,2,1,1,1,10.30306872,81,0,0,8.667852068,76,1,5,1,2,1,10.73928381,0,2,21,82,5,25,687,667,4564,6940,0.576923077,0.319148936,0.02331,0.55
621713,1,5.32,7,34,0.5,4,11.50288523,1,0,1,20.68,0,10.09835508,26,12.20106513,16.89,0,0,9,0,0,48,11.50130825,52,1,1,9.437077459,34,0,1,0,2,0,10.6555638,0,3,14,29.9,4,17,807,782,6666,6666,0.303030303,0.150753769,0.030115,0.628571429
621767,1,5.32,7,34,10,4,11.3504183,0,0,3,18.52,0,9.349493433,11.5,12.09514667,8.8,0,2,4,1,3,6,10.51775385,65,1,2,8.927314111,31,0,5,0,3,0,9.679155796,0,5,9,11,2,12,787,772,7852,7852,0.188235294,0.089385475,0.030115,0.608695652
621772,1,7.07,7,33,10,4,11.22525673,0,0,2,13.57,0,9.110520037,42.7,11.8678058,12.78,0,2,2,1,3,4,11.33065991,99,1,2,8.566935283,74,1,2,3,6,0,9.264449698,0,6,6,44.5,1,10,737,692,9131,9131,0.186666667,0.098176718,0.030909286,0.259259259
621782,2,30.17,2,7,1,4,11.51293546,0,1,2,31.17,0,10.12185974,65.5,11.73607702,26.88,0,2,5,4,7,2,11.32992768,91,3,5,8.679482094,81,3,2,5,4,0,10.60224397,0,2,10,73,3,9,687,672,5721,2192,0.24,0.192,0.032457917,0.348837209
621798,2,30.17,2,7,10,3,11.28979441,1,0,2,38.66,1,9.681405937,36.2,12.0435596,23.5,1,0,4,4,5,9,11.28909418,86,2,3,8.59137259,70,3,0,5,0,1,11.22193125,0,0,21,53.4,4,19,692,657,6178,5844,0.3,0.141176471,0.032457917,0.647058824
621819,1,7.07,7,33,0.5,4,10.98893017,1,0,1,16.32,0,10.23102715,25.5,11.56090578,14.72,2,1,1,0,0,25,9.309914177,74,1,3,8.935508712,31,0,0,0,3,0,10.68441665,0,3,26,21.7,1,35,807,732,11231,11231,0.675515925,0.381264655,0.03090925,0.652173913
621821,1,11.99,6,25,0.5,3,10.27708352,2,0,2,31.6,1,8.433594168,59.7,10.90901552,19.08,2,1,2,2,3,11,10.07512726,60,3,4,7.395721609,60,5,1,3,3,1,8.734077193,1,3,6,42.1,1,22,662,647,5966,6817,0.172069654,0.09146453,0.03321,0.225806452
621860,2,15.05,5,21,0.5,3,11.38510346,2,1,2,31.5,0,9.940638818,67.4,12.29225493,15.94,2,0,5,0,1,20,11.86529917,80,2,5,8.810608796,75,1,0,2,0,0,10.24366719,0,0,8,60.3,2,14,682,627,12934,5175,0.284090909,0.114678899,0.0238164,0.512195122
621894,1,16.02,5,20,7,3,10.8277663,2,0,2,23.31,0,9.398395461,55.9,11.29478189,14.61,2,1,2,0,1,18,9.34836167,55,1,1,8.437500423,55,0,1,0,0,0,9.830755556,0,0,2,92,0,2,667,632,4717,4717,0.44047619,0.276119403,0.035167117,0.666666667
621895,2,30.99,1,0,0.5,3,10.05830944,2,1,8,18.95,0,8.593227878,32.1,10.61075951,25.84,2,1,7,2,6,11,10.41729872,95,2,4,8.079308192,75,1,0,1,0,0,9.341544058,0,2,5,90.5,2,3,717,692,1734,2008,0.462566387,0.266219681,0.032964815,0.9375
621916,2,21.45,4,15,0.5,5,11.51293546,0,0,3,9.53,0,9.262268465,79.2,13.01700508,9.87,0,1,1,0,0,25,8.612503371,33,2,3,8.454679286,54,0,2,1,0,0,10.55713998,1,3,21,53.4,6,28,677,657,4839,5205,0.35,0.077777778,0.027307143,0.6
621922,1,10.91,6,26,1,3,10.64544871,1,0,2,45.54,0,9.845328638,56,11.33858398,26.59,1,0,6,0,3,22,10.86849226,68,0,2,9.28887425,64,1,4,0,1,0,10.57059872,0,1,11,65.9,4,10,737,712,3103,3103,0.714285714,0.357142857,0.032696333,0.52173913
621950,2,17.09,4,19,0.5,4,10.87806606,2,0,2,14.92,0,8.764365721,45.7,11.86358938,23.13,2,0,2,0,1,13,11.36104388,54,0,0,0,51,1,0,1,2,0,10.49249569,0,2,9,99.1,6,6,672,647,5448,5356,0.566037736,0.211267606,0.024901,0.142857143
621972,1,10.42,6,27,0.5,4,10.54536775,0,0,1,19.46,1,9.582593346,76.4,11.3621142,10.17,0,0,10,0,0,35,10.61248348,108,0,1,8.905579958,97,0,0,0,1,1,9.828171158,0,1,5,91.3,0,4,682,657,6817,1887,0.368421053,0.162790698,0.032465,0.894736842
621975,1,23.88,3,13,0.5,4,10.79959599,1,1,2,42.13,1,6.845879875,19.6,11.49273296,24.24,1,1,6,1,6,1,11.08015596,74,1,1,0,68,4,7,1,3,1,9.569063218,1,3,13,41.4,4,15,672,652,4595,4595,0.408163265,0.204081633,0.03917,0.421052632
621980,2,17.09,4,19,10,4,11.00211651,0,1,2,16.68,0,9.467923997,85.1,11.3504183,14.91,0,1,2,1,1,4,10.34460934,80,1,1,9.345570321,82,0,1,2,2,0,9.737846106,1,2,6,82.1,3,5,677,672,4352,4199,0.25,0.176470588,0.024901333,0.357142857
622023,1,12.62,5,24,0.5,4,10.30898599,0,0,6,31.08,0,7.628517627,13.2,11.4616427,10.59,0,3,7,0,2,15,10.66599754,91,5,6,7.088408779,72,0,1,3,0,0,8.187855444,0,1,6,37.6,2,3,662,657,2495,2222,0.16,0.050526316,0.0335125,0.882352941
622030,1,15.05,5,21,0.5,4,10.59665973,1,0,1,17.55,1,9.132919225,33.9,11.66135409,15.06,1,2,2,1,1,4,9.653935855,88,2,5,8.090095783,55,2,3,4,2,1,10.11803426,3,3,14,61.4,4,15,677,627,4018,4870,0.75,0.25862069,0.03469,0.571428571
622040,2,30.94,1,1,10,4,10.76850604,1,0,2,24.89,1,10.29977736,88.2,11.63426661,25.72,1,4,1,1,1,2,10.42617257,101,3,5,8.069342367,94,2,1,9,4,1,10.97488279,3,4,14,96.9,3,20,672,622,6025,4748,0.505263158,0.212577502,0.032933333,0.291666667
622047,1,7.07,7,33,0.5,4,10.59665973,0,0,3,2.16,0,6.931471806,8.8,11.56172515,4.79,0,1,1,1,1,2,9.878887436,98,0,1,6.88857246,58,0,1,0,4,0,10.15591802,0,4,23,8.1,4,22,762,742,11019,12357,0.15,0.057142857,0.03091,0.411764706
622051,2,16.02,5,20,0.5,4,10.30898599,2,1,8,68.72,0,11.34967686,90.7,11.78296024,21.64,2,0,0,0,0,45,0,71.16996114,0,0,10.06743296,91,1,0,5,2,0,11.57962103,0,2,11,90.8,0,13,692,672,12631,12631,0.56,0.128244275,0.024329167,0.571428571
622057,2,9.93,6,28,9,4,11.69525536,2,0,1,19,1,9.865681838,56.8,12.01370681,15.27,2,0,2,0,0,41,11.10557358,5,0,1,8.813587204,36,0,0,0,5,0,10.13626455,0,1,13,52,1,12,717,697,8735,4625,0.25,0.181818182,0.021212667,0.461538462
622059,1,11.99,6,25,0.5,3,9.210440367,0,1,2,123.16,1,9.335474103,34.8,11.40757606,21.49,0,0,2,0,2,17,9.998706819,72,3,6,7.613818685,53,0,0,3,0,1,9.521861034,1,2,6,49.4,2,7,692,637,4018,4079,0.9,0.1,0.03321,0.916666667
622079,1,10.91,6,26,0.5,4,10.54536775,0,0,2,9.51,0,9.090880932,30,11.58193834,15.33,0,0,0,0,0,85,0,71.16996114,0,0,8.862483576,30,1,1,0,3,0,10.00726181,0,3,10,55.1,3,9,792,742,9770,9770,0.526315789,0.186664676,0.0326965,0.571428571
622085,2,15.05,5,21,0.5,4,10.1266711,1,0,2,54.06,0,9.958449111,77.7,11.49273296,26.83,1,0,3,0,0,27,11.03484128,101,2,4,8.666647145,94,0,0,1,2,0,10.20366622,1,3,19,64.3,7,15,672,647,6360,9313,1.12,0.285714286,0.023816429,0.538461538
622092,1,7.07,7,33,1,3,10.59665973,0,0,6,29.16,0,8.866863661,13.4,11.17044924,16.43,0,1,2,1,1,7,10.56030783,71,3,7,8.556606194,43,0,0,1,0,0,8.866863661,0,0,3,0,1,4,772,612,7031,1491,0.05,0.028169014,0.03091,0.590909091
622138,1,7.21,7,32,5,4,10.30898599,1,0,1,53.84,0,10.44616062,61.7,11.31448672,23.97,1,0,3,0,2,14,10.58772012,74,1,3,8.234299636,68,5,0,1,1,0,9.689613407,0,1,12,66.4,3,8,732,722,4140,4291,0.4,0.146341463,0.030973333,0.583333333
622228,2,30.79,1,4,0.5,4,10.43414521,1,1,2,39.53,0,9.819616693,80.3,11.18443529,31.6,1,0,2,1,2,10,9.939723045,83,0,0,9.195328252,82,2,0,2,5,0,10.83269451,0,5,12,74,3,16,687,682,6056,6056,0.722058824,0.340972222,0.032840326,0.473684211
622281,1,29.69,2,8,4,4,11.03490579,2,0,2,25.47,0,11.02627199,80.4,11.42955473,22.03,2,0,2,1,1,11,10.0099175,48,0,1,8.503702601,56,6,0,13,3,0,9.819290394,0,0,4,99.5,3,1,662,627,4533,2526,0.225806452,0.152173913,0.042282143,0.4375
