zip_2,term,int_rate,sub_grade,home_ownership,annual_inc,verification_status,dti,revol_util,mort_acc,credit_line_ratio,bal_annual_inc,cibil_score,inst_anmt_ratio
64,0.445647513,4.590123339,6.530037507,0.57612031,0.484445687,0.83825087,8.140033587,23.78132011,2.099001276,0.168286626,0.111986092,32.04676033,0.004348159
65,0.430623961,4.49840765,6.407471251,0.580977037,0.505912928,0.842187874,8.358884767,23.76381823,2.055286589,0.169580793,0.116298418,30.41678246,0.0043325
66,0.437802243,4.538498849,6.490046911,0.601024221,0.497518628,0.833116672,8.263416022,23.60321123,2.107712897,0.17171468,0.113449325,31.14456189,0.004253409
67,0.434928903,4.49084958,6.420632981,0.600240973,0.477251762,0.841912034,8.086661844,23.24686597,1.957531346,0.166036019,0.114307647,30.66571584,0.004235393
68,0.42222551,4.725046478,6.40295562,0.653769499,0.479383123,0.820709072,8.718991889,23.05195441,1.87358689,0.180419205,0.114433382,29.82753655,0.004249356
69,0.455217436,4.707729926,6.313734395,0.617242223,0.469387773,0.820503141,8.366206145,23.47440857,1.646688061,0.173320195,0.124445936,26.54580657,0.004331624
70,0.44235095,4.636223753,6.56058153,0.630552428,0.508789913,0.833534678,8.401393799,24.49948796,1.973342791,0.171345014,0.111580379,31.68026083,0.004365476
71,0.434204324,4.618580932,6.506331501,0.631269402,0.502879953,0.838789974,8.518215137,24.29169105,1.871560065,0.172576966,0.114722181,31.13764483,0.004280499
72,0.442728061,4.547762324,6.408096005,0.583262907,0.512422862,0.831306008,8.329822647,23.27225159,2.060927247,0.171607918,0.113170411,30.63405892,0.004406406
73,0.444949542,4.516658755,6.435984712,0.600169396,0.493080253,0.826349963,8.3158439,24.19440434,2.12890083,0.170274013,0.111341441,30.76088695,0.004345873
74,0.436961852,4.494569502,6.405523606,0.595099475,0.489310426,0.83216266,8.321154992,24.16714402,1.885271978,0.168719806,0.11276688,30.12182478,0.00426517
75,0.427580529,4.552654365,6.437979971,0.632442808,0.512507656,0.824207827,8.301926707,23.76508158,1.89235749,0.170809861,0.108999281,31.97019132,0.004240599
76,0.432390724,4.554080062,6.43954346,0.606377846,0.490802723,0.824252677,8.370820357,23.43792649,1.852903158,0.168076319,0.110921651,31.31802803,0.004252414
77,0.422782939,4.550625102,6.443953939,0.640603929,0.514574797,0.822956937,8.317403992,23.57454602,1.825341927,0.17133647,0.107917806,31.16640243,0.004172881
78,0.421715277,4.594920673,6.481820459,0.652233155,0.510316056,0.830777915,8.404160865,23.45619559,1.801116931,0.168261806,0.110890509,30.32022169,0.004136203
79,0.438309084,4.606739161,6.530101564,0.649491745,0.497551298,0.817723536,8.601141005,23.11167386,1.760108422,0.17134389,0.11507363,30.25784427,0.004244094
80,0.442019597,4.593747209,6.511477932,0.596448499,0.50344664,0.833963064,8.094721808,24.23387534,2.198812252,0.173459932,0.108817954,30.95293658,0.004327083
81,0.433769283,4.551944026,6.431074193,0.615903468,0.491498827,0.848184872,8.41274807,24.29877213,2.208917484,0.171931236,0.113416035,31.06887088,0.004274617
82,0.450929512,4.635081027,6.59459125,0.568863597,0.458741605,0.829955037,8.289630028,24.06809214,2.136327313,0.16145472,0.110515499,30.58686182,0.004241933
83,0.424667815,4.892978482,6.200779605,0.620140982,0.489196442,0.81674829,8.606488324,23.84835079,2.020693335,0.17090551,0.116394727,27.623527,0.004203402
84,0.453404407,4.59650001,6.536992035,0.567569919,0.516039183,0.830845798,8.112531281,24.05472015,2.467015376,0.168250304,0.109983649,30.1215665,0.004454576
85,0.432060549,4.55588911,6.434058724,0.615460743,0.510666677,0.837205675,8.146407467,24.092447,2.258227577,0.173430277,0.109457997,30.06758793,0.004246952
86,0.407150335,4.439729658,6.244773382,0.667929266,0.502288589,0.854942221,8.459217513,23.7568673,2.023016149,0.180368947,0.112504762,31.57433807,0.004005183
87,0.430303485,4.5642877,6.505990912,0.636680663,0.492856158,0.828231766,8.48491901,23.91607878,2.228377337,0.168273292,0.111759631,31.19760776,0.004232146
88,0.439383478,4.592373934,6.533697266,0.640182684,0.510159713,0.840218469,8.784520569,23.87365752,1.840240027,0.178506679,0.110376525,30.1005295,0.00426866
89,0.416609441,4.492508846,6.367603406,0.610689975,0.495949362,0.826735107,8.298524292,23.8141143,1.986643105,0.179699409,0.109840024,28.96297101,0.004147788
90,0.398171462,4.488191739,6.363606348,0.587170391,0.537313803,0.825019037,8.25585353,24.33500221,1.79019515,0.182100955,0.108693165,30.20241111,0.00398044
91,0.415643732,4.517151913,6.406691946,0.632447108,0.5342142,0.809365904,8.271336224,24.69420036,1.985867507,0.181278224,0.108573408,30.11127547,0.004110942
92,0.423945648,4.519120478,6.425903384,0.619641113,0.532839189,0.829902934,8.166439915,24.05885025,2.074302773,0.177790519,0.106740126,30.06618021,0.004204894
93,0.428847932,4.551093902,6.460588124,0.616766788,0.507397158,0.826553597,8.189737567,23.53242525,2.074540202,0.175833969,0.108020415,29.75242322,0.004241208
94,0.395593204,4.545362587,6.447062839,0.59797166,0.543416295,0.8203828,8.049261159,25.18884473,1.872561584,0.183029249,0.105409265,31.82694247,0.003926358
95,0.421154011,4.537582745,6.446847308,0.623078892,0.528302622,0.822100153,8.105432477,24.18652477,2.018976171,0.178743391,0.107811352,30.17745354,0.004154284
96,0.430057154,4.672613583,6.612291784,0.661396829,0.495917718,0.819654988,8.679541482,24.8266896,1.888539796,0.178209901,0.114416781,29.47448345,0.004182586
97,0.425456134,4.480071654,6.352047256,0.606061546,0.497560888,0.845454639,8.108372029,24.09685686,2.155477632,0.175166258,0.109742327,30.27927981,0.00422102
98,0.43061235,4.552010934,6.487337891,0.596496353,0.498896984,0.823271002,8.153806911,24.25536866,2.248543362,0.177321679,0.109220104,29.73538331,0.004179892
99,0.430904227,4.577542063,6.513703662,0.618184635,0.484693367,0.826687211,8.312899356,24.0001577,1.998625398,0.169969444,0.112757725,28.96232547,0.004151914
